scientific_name,common_name,category_key,rarity_hint,description,tips,created_at,photo_url
Clamator glandarius,Coucou geai,birds,epic,"Coucou méridional plus grand que le gris, dos brun moucheté de blanc, longue queue étagée, huppe érectile sur la tête. Parasite la pie bavarde.","Garrigues, oliveraies, vignes du sud (Provence, Languedoc) de mars à juillet. Cherche-le posé en évidence, criant « kerrr-kerrr » près des colonies de pies.",2026-05-11 20:02:32.740404+00,
Coccothraustes coccothraustes,Gros-bec casse-noyaux,birds,rare,"Fringille massif à énorme bec gris bleuté, plumage chamois roux, tête brun orangé, large barre alaire blanche en vol.","Vieux parcs et forêts à charmes et merisiers. Très discret, à chercher en hiver aux mangeoires de campagne ou au sol sous les arbres fruitiers.",2026-05-11 17:15:47.208986+00,
Coloeus monedula,Choucas des tours,birds,common,"Petit corvidé noir gris ardoise, nuque gris pâle, œil clair perçant. Niche en colonies dans clochers, vieilles tours et cavités d'arbres.","Villes, villages, falaises, vieilles forêts toute l'année. Cherche les bandes bruyantes tournoyant autour des clochers à l'aube et au crépuscule.",2026-05-11 17:21:32.121165+00,
Columba livia,Pigeon biset,birds,common,"Ancêtre sauvage du pigeon de ville, plumage variable typiquement gris-bleu à deux barres alaires noires, croupion blanc. Vrais sauvages sur falaises côtières.","Falaises côtières (Bretagne, Manche) pour les vrais sauvages, partout en ville pour les domestiques retournés. Cherche les bandes en vol direct rapide.",2026-05-11 20:02:32.740404+00,
Columba oenas,Pigeon colombin,birds,rare,"Pigeon discret intermédiaire en taille, plumage gris bleuté uniforme sans tache blanche au cou, deux barres alaires noires courtes. Niche en cavités d'arbres.","Vieilles forêts à arbres creux, parcs anciens d'avril à septembre. À distinguer du ramier par l'absence de blanc au cou, chant en « houh-roup » doux et grave.",2026-05-11 20:02:32.740404+00,
Columba palumbus,Pigeon ramier,birds,common,"Plus grand pigeon d'Europe, plumage gris bleuté à poitrine vineuse, large croissant blanc sur le cou, barres alaires blanches très visibles en vol.","Forêts, bocages, parcs urbains toute l'année. Cherche les bandes massives au sol dans les chaumes en automne, ou le claquement d'ailes typique à l'envol.",2026-05-11 20:02:32.740404+00,
Coracias garrulus,Rollier d'Europe,birds,epic,"Oiseau spectaculaire bleu turquoise éclatant à dos brun roux, taille de pie, bec noir robuste. Vol acrobatique en cabrioles nuptiales caractéristiques.","Plaines de la Crau, Languedoc et Drôme provençale de mai à août. Cherche-le posté en évidence sur un fil ou un piquet en milieu chaud et ouvert, inratable au bleu turquoise.",2026-05-11 20:02:32.740404+00,
Corvus corax,Grand Corbeau,birds,rare,"Plus grand passereau du monde, entièrement noir, bec massif crochu, queue cunéiforme en vol. Croassement profond « cronk » puissant.","Falaises, grandes forêts, montagnes toute l'année. Cherche les couples planant haut en cercles, ou écoute le « cronk » grave qui porte sur des kilomètres.",2026-05-11 17:21:32.121165+00,
Corvus corone,Corneille noire,birds,common,"Grand corvidé entièrement noir mat, bec robuste droit, plumage uniforme sans reflets vifs. Cri « krâ-krâ » sec et rauque répété.",Partout en campagne et en ville toute l'année. Marche au sol dans les champs ou se perche en évidence sur poteaux et arbres isolés.,2026-05-11 17:21:32.121165+00,
Corvus frugilegus,Corbeau freux,birds,common,"Corvidé noir à reflets pourprés, face nue grisâtre dépourvue de plumes chez l'adulte, bec long pointu. Vit en colonies bruyantes.","Plaines agricoles, alignements d'arbres toute l'année. Cherche les corbeautières aux nids volumineux dans les grands arbres, bandes en vol au crépuscule.",2026-05-11 17:21:32.121165+00,
Coturnix coturnix,Caille des blés,birds,rare,"Plus petit galliforme d'Europe, taille de merle, brun strié parfaitement camouflé, mâle à gorge brune ou noire selon morphe. Chant trisyllabique typique.","Plaines céréalières et prairies de fauche d'avril à août. Présence détectée à l'oreille par le chant « paye-tes-dettes » émis depuis les blés, vue exceptionnelle.",2026-05-11 20:02:32.740404+00,
Crex crex,Râle des genêts,birds,legendary,"Rallidé terrestre brun-roux strié, allure de petit galliforme, ailes rousses visibles en vol bref. Migrateur strict, en effondrement national.","Prairies de fauche humides (vallée de la Saône, Anjou) de mai à août. S'identifie quasi exclusivement au chant nocturne en « crex-crex » rauque répété, vue exceptionnelle.",2026-05-11 20:02:32.740404+00,
Cuculus canorus,Coucou gris,birds,rare,"Oiseau allongé gris ardoise dessus, dessous blanc finement barré, allure d'épervier en vol. Parasite des nids de petits passereaux. Chant « cou-cou » universel.","Bocages, lisières, marais d'avril à août. S'identifie surtout au chant « cou-cou » du mâle émis depuis un perchoir, plus rarement à la vue en vol bas.",2026-05-11 20:02:32.740404+00,
Curruca communis,Fauvette grisette,birds,rare,"Fauvette à tête grise, gorge blanche très contrastée, ailes rousses chaudes. Vol nuptial dressé au-dessus des haies.","Bocages à haies épaisses, friches d'avril à août. Cherche le mâle effectuant son chant de parade en plein ciel au-dessus de la haie.",2026-05-11 17:15:47.208986+00,
Curruca curruca,Fauvette babillarde,birds,rare,"Plus petite et plus grise que la grisette, joues sombres, gorge blanche pure. Chant rapide en deux temps : gazouillis puis crécelle.","Haies hautes, broussailles, jardins arborés d'avril à août. Repère la crécelle finale typique « ti-ti-ti-ti » émise depuis le buisson.",2026-05-11 17:15:47.208986+00,
Curruca undata,Fauvette pitchou,birds,rare,"Petite fauvette méditerranéenne à longue queue redressée, dos gris ardoise, dessous vineux foncé, cercle oculaire rouge vif chez le mâle.",Garrigues à cistes et bruyères des côtes atlantiques et méditerranéennes toute l'année. Cherche-la se faufilant bas dans les buissons épineux.,2026-05-11 17:21:32.121165+00,
Cyanistes caeruleus,Mésange bleue,birds,common,"Petite mésange vive au front et calotte bleus, joues blanches barrées d'un trait noir, ventre jaune. Acrobate dans les feuillages.","Jardins, haies, parcs toute l'année. Fréquente assidûment les mangeoires à boules de graisse en hiver.",2026-05-11 17:15:47.208986+00,
Cygnus columbianus,Cygne de Bewick,birds,legendary,"Cygne nordique plus petit que le chanteur, bec noir à base jaune arrondie limitée. Cou tenu droit, cri haut perché flûté.",Hivernant rare des grandes plaines humides du Nord et Centre (déc-février). À distinguer du chanteur par la zone jaune du bec plus restreinte et arrondie.,2026-05-11 17:29:10.709741+00,
